SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0.225552384,0.619454545,0.076566535,0.050808081,Iris-setosa
0.171687584,0.416532468,0.076566535,0.050808081,Iris-setosa
0.117822785,0.497701299,0.060097497,0.050808081,Iris-setosa
0.090890385,0.457116883,0.093035573,0.050808081,Iris-setosa
0.198619984,0.660038961,0.076566535,0.050808081,Iris-setosa
0.306349583,0.781792208,0.12597365,0.131616162,Iris-setosa
0.090890385,0.57887013,0.076566535,0.091212121,Iris-setosa
0.198619984,0.57887013,0.093035573,0.050808081,Iris-setosa
0.037025586,0.375948052,0.076566535,0.050808081,Iris-setosa
0.171687584,0.457116883,0.093035573,0.01040404,Iris-setosa
0.54874118,0.21361039,0.652982872,0.576060606,Iris-versicolor
0.306349583,0.700623377,0.093035573,0.050808081,Iris-setosa
0.144755184,0.57887013,0.109504611,0.050808081,Iris-setosa
0.144755184,0.416532468,0.076566535,0.01040404,Iris-setosa
0.010093186,0.416532468,0.02715942,0.01040404,Iris-setosa
0.414079181,0.822376623,0.043628458,0.050808081,Iris-setosa
0.467943981,0.294779221,0.685920949,0.616464646,Iris-versicolor
0.387146782,0.984714286,0.093035573,0.131616162,Iris-setosa
0.306349583,0.781792208,0.060097497,0.131616162,Iris-setosa
0.225552384,0.619454545,0.076566535,0.091212121,Iris-setosa
0.387146782,0.741207792,0.12597365,0.091212121,Iris-setosa
0.225552384,0.741207792,0.093035573,0.091212121,Iris-setosa
0.306349583,0.57887013,0.12597365,0.050808081,Iris-setosa
0.225552384,0.700623377,0.093035573,0.131616162,Iris-setosa
0.090890385,0.660038961,0.010690382,0.050808081,Iris-setosa
0.225552384,0.538285714,0.12597365,0.172020202,Iris-setosa
0.144755184,0.57887013,0.158911726,0.050808081,Iris-setosa
0.198619984,0.416532468,0.109504611,0.050808081,Iris-setosa
0.198619984,0.57887013,0.109504611,0.131616162,Iris-setosa
0.252484783,0.619454545,0.093035573,0.050808081,Iris-setosa
0.252484783,0.57887013,0.076566535,0.050808081,Iris-setosa
0.117822785,0.497701299,0.109504611,0.050808081,Iris-setosa
0.144755184,0.457116883,0.109504611,0.050808081,Iris-setosa
0.306349583,0.57887013,0.093035573,0.131616162,Iris-setosa
0.252484783,0.862961039,0.093035573,0.01040404,Iris-setosa
0.333281982,0.903545455,0.076566535,0.050808081,Iris-setosa
0.737267977,0.497701299,0.620044796,0.535656566,Iris-versicolor
0.575673579,0.497701299,0.587106719,0.576060606,Iris-versicolor
0.710335578,0.457116883,0.652982872,0.576060606,Iris-versicolor
0.333281982,0.132441558,0.504761528,0.495252525,Iris-versicolor
0.602605979,0.335363636,0.603575758,0.576060606,Iris-versicolor
0.387146782,0.335363636,0.587106719,0.495252525,Iris-versicolor
0.54874118,0.538285714,0.620044796,0.616464646,Iris-versicolor
0.171687584,0.173025974,0.389478261,0.374040404,Iris-versicolor
0.629538379,0.375948052,0.603575758,0.495252525,Iris-versicolor
0.252484783,0.294779221,0.48829249,0.535656566,Iris-versicolor
0.198619984,0.010688312,0.422416337,0.374040404,Iris-versicolor
0.441011581,0.416532468,0.537699605,0.576060606,Iris-versicolor
