TargetX, TargetY,Species
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.48,0.24,Iris-setosa
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.8,0.75,Iris-versicolor
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
0.2,0.77,Iris-virginica
